,BUTCHERY,HYENA,TRAMPLE,WOLF
JH_Wolf_FIO.3252019.10,0.049,0.428,0.229,0.294
JH_Wolf_FIO.3252019.11...finaldwnsmpcoords.nts_1,0.003,0.044,0.028,0.924
JH_Wolf_FIO.3252019.12...finaldwnsmpcoords.nts_1,0.003,0.467,0.028,0.502
JH_Wolf_FIO.3252019.13,0.132,0.318,0.169,0.381
JH_Wolf_FIO.3252019.14,0.000,0.040,0.004,0.956
JH_Wolf_FIO.3252019.15,0.024,0.097,0.197,0.682
JH_Wolf_FIO.3252019.16,0.025,0.590,0.348,0.037
JH_Wolf_FIO.3252019.8,0.784,0.085,0.123,0.008
JH_Wolf_FIO.3252019.9,0.001,0.029,0.199,0.772
JH_Wolf_KAN.2182019.1,0.001,0.079,0.010,0.910
JH_Wolf_KAN.2182019.5,0.000,0.006,0.002,0.992
JH_Wolf_KAN.2182019.8,0.033,0.286,0.055,0.626
JH_Wolf_KAN.3252019.10,0.003,0.174,0.042,0.782
JH_Wolf_KAN.3252019.17,0.023,0.519,0.459,0.000
JH_Wolf_KAN.3252019.5,0.047,0.378,0.475,0.099
JH_Wolf_KAN.532019.11,0.060,0.275,0.384,0.281
JH_Wolf_KAN.532019.12a,0.045,0.544,0.137,0.274
JH_Wolf_KAN.532019.12b,0.606,0.056,0.124,0.213
JH_Wolf_KAN.532019.12c,0.002,0.080,0.034,0.884
JH_Wolf_KAN.532019.12d,0.010,0.086,0.030,0.875
JH_Wolf_KAN.532019.8,0.013,0.087,0.051,0.849
JH_Wolf_KAN.532019.9...finaldwnsmpcoords.nts_1,0.076,0.139,0.642,0.143
JH_Wolf_TIM.2182019.1,0.000,0.267,0.004,0.729
JH_Wolf_TIM.2182019.14,0.000,0.044,0.000,0.956
JH_Wolf_TIM.2182019.26,0.010,0.266,0.021,0.704
JH_Wolf_TIM.2182019.28,0.014,0.313,0.148,0.524
JH_Wolf_TIM.2182019.29,0.043,0.331,0.485,0.141
JH_Wolf_TIM.2182019.3,0.056,0.125,0.232,0.586
JH_Wolf_TIM.2182019.30,0.061,0.331,0.262,0.346
JH_Wolf_TIM.2182019.31,0.055,0.359,0.230,0.356
JH_Wolf_TIM.2182019.36,0.205,0.387,0.076,0.332
JH_Wolf_TIM.2182019.37,0.108,0.014,0.876,0.003
JH_Wolf_TIM.2182019.38,0.069,0.099,0.599,0.232
JH_Wolf_TIM.2182019.8,0.252,0.041,0.570,0.137
EOC2018Antoine_B5.dorsal_10mat_detrend_smoothdwnsmpcoords.nts_1,0.987,0.000,0.013,0.000
EOC2018Antoine_B5.dorsal_14mat_detrend_smooth.copy.Adwnsmpcoords.nts_1,0.116,0.110,0.407,0.367
EOC2018Antoine_B5.dorsal_14mat_detrend_smooth.copy.Bdwnsmpcoords.nts_1,0.000,0.069,0.003,0.927
EOC2018Antoine_B5.dorsal_3mat_detrend_smoothdwnsmpcoords.nts_1,0.847,0.001,0.152,0.000
EOC2018Antoine_B5.dorsal_4mat_detrend_smoothdwnsmpcoords.nts_1,0.279,0.207,0.178,0.336
EOC2018Antoine_B5.dorsal_5mat_detrend_smooth.copy.Adwnsmpcoords.nts_1,0.701,0.003,0.292,0.004
EOC2018Antoine_B5.dorsal_5mat_detrend_smooth.copy.Bdwnsmpcoords.nts_1,0.327,0.071,0.589,0.012
EOC2018Antoine_B5.dorsal_6mat_detrend_smooth.copy.Adwnsmpcoords.nts_1,0.853,0.005,0.116,0.027
EOC2018Antoine_B5.dorsal_6mat_detrend_smooth.copy.Bdwnsmpcoords.nts_1,0.563,0.141,0.290,0.006
EOC2018Antoine_B5.dorsal_7mat_detrend_smoothdwnsmpcoords.nts_1,0.874,0.006,0.118,0.001
EOC2018Antoine_B5.dorsal_8mat_detrend_smooth.copy.Adwnsmpcoords.nts_1,0.840,0.018,0.134,0.008
EOC2018Antoine_B7.dorsal_10mat_detrend_smoothdwnsmpcoords.nts_1,0.999,0.000,0.001,0.000
EOC2018Antoine_B7.dorsal_11mat_detrend_smoothdwnsmpcoords.nts_1,0.997,0.000,0.003,0.000
EOC2018Antoine_B7.dorsal_13mat_detrend_smoothdwnsmpcoords.nts_1,0.978,0.000,0.022,0.000
EOC2018Antoine_B7.dorsal_15mat_detrend_smoothdwnsmpcoords.nts_1,0.957,0.002,0.042,0.000
EOC2018Antoine_B7.dorsal_16mat_detrend_smoothdwnsmpcoords.nts_1,0.460,0.058,0.471,0.011
EOC2018Antoine_B7.dorsal_1mat_detrenddwnsmpcoords.nts_1,0.921,0.002,0.076,0.000
EOC2018Antoine_B7.dorsal_2mat_detrenddwnsmpcoords.nts_1,0.988,0.000,0.012,0.000
EOC2018Antoine_B7.dorsal_3mat_detrenddwnsmpcoords.nts_1,0.699,0.026,0.179,0.097
EOC2018Antoine_B7.dorsal_4mat_detrend.copy.Adwnsmpcoords.nts_1,0.995,0.000,0.005,0.000
EOC2018Antoine_B7.dorsal_4mat_detrend.copy.Bdwnsmpcoords.nts_1,0.422,0.107,0.376,0.095
EOC2018Antoine_B7.dorsal_5mat_detrenddwnsmpcoords.nts_1,0.956,0.001,0.043,0.000
EOC2018Antoine_B7.dorsal_6mat_detrend_smoothdwnsmpcoords.nts_1,0.918,0.026,0.052,0.004
EOC2018Antoine_B7.dorsal_7mat_detrend_smoothdwnsmpcoords.nts_1,0.976,0.000,0.024,0.000
EOC2018Antoine_B7.dorsal_9mat_detrend_smoothdwnsmpcoords.nts_1,0.999,0.000,0.001,0.000
EOC2018Woo_B5.dorsal_13mat_detrend_smoothdwnsmpcoords.nts_1,0.968,0.000,0.032,0.000
EOC2018Woo_B5.dorsal_14mat_detrend_smoothdwnsmpcoords.nts_1,0.885,0.006,0.104,0.006
EOC2018Woo_B5.dorsal_5mat_detrend_smoothdwnsmpcoords.nts_1,0.896,0.001,0.103,0.000
EOC2018Woo_B5.dorsal_6mat_detrend_smoothdwnsmpcoords.nts_1,0.787,0.005,0.208,0.000
EOC2018Woo_B5.dorsal_8mat_detrend_smoothdwnsmpcoords.nts_1,0.999,0.000,0.001,0.000
EOC2018Woo_B5.dorsal_9mat_detrend_smoothdwnsmpcoords.nts_1,0.898,0.003,0.098,0.000
EOC2018Woo_B7.dorsal_10mat_detrend_smoothdwnsmpcoords.nts_1,0.855,0.027,0.110,0.008
EOC2018Woo_B7.dorsal_11mat_detrend_smoothdwnsmpcoords.nts_1,0.373,0.087,0.537,0.004
EOC2018Woo_B7.dorsal_12mat_detrend_smoothdwnsmpcoords.nts_1,0.826,0.018,0.134,0.021
EOC2018Woo_B7.dorsal_15mat_detrend_smoothdwnsmpcoords.nts_1,0.643,0.006,0.293,0.059
EOC2018Woo_B7.dorsal_1mat_detrend_smoothdwnsmpcoords.nts_1,0.945,0.003,0.027,0.025
EOC2018Woo_B7.dorsal_2mat_detrend_smoothdwnsmpcoords.nts_1,0.890,0.009,0.095,0.006
EOC2018Woo_B7.dorsal_3mat_detrend_smoothdwnsmpcoords.nts_1,0.707,0.037,0.146,0.110
EOC2018Woo_B7.dorsal_4mat_detrend_smoothdwnsmpcoords.nts_1,0.971,0.004,0.025,0.000
EOC2018Woo_B7.dorsal_5mat_detrend_smoothdwnsmpcoords.nts_1,0.268,0.009,0.360,0.363
EOC2018Woo_B7.dorsal_6mat_detrend_smoothdwnsmpcoords.nts_1,0.947,0.004,0.049,0.000
EOC2018Woo_B7.dorsal_7mat_detrend_smoothdwnsmpcoords.nts_1,0.650,0.253,0.034,0.062
EOC2018Woo_B7.dorsal_8mat_detrend_smoothdwnsmpcoords.nts_1,0.807,0.015,0.173,0.004
EOC2018Woo_B7.dorsal_9mat_detrend_smoothdwnsmpcoords.nts_1,0.009,0.000,0.000,0.990
JH_Butchery_17.1.1.4,0.140,0.111,0.749,0.000
JH_Butchery_17.1.5,0.138,0.359,0.480,0.022
JH_Butchery_17.11.1,0.943,0.003,0.055,0.000
JH_Butchery_17.11.2,0.603,0.035,0.317,0.045
JH_Butchery_17.11.3,0.490,0.012,0.476,0.021
JH_Butchery_17.11.3.1,0.404,0.279,0.314,0.002
JH_Butchery_17.11.4.6,0.778,0.094,0.125,0.003
JH_Butchery_17.12.2,0.507,0.002,0.392,0.099
JH_Butchery_17.12.5,0.941,0.002,0.057,0.000
JH_Butchery_17.12.6,0.892,0.006,0.102,0.000
JH_Butchery_17.12.7,0.902,0.007,0.089,0.003
JH_Butchery_17.12.8,0.308,0.356,0.226,0.110
